Date,Open,High,Low,Close
2022-01-03,59.323665618896484,60.706764221191406,59.030845642089844,59.959144592285156
2022-01-04,61.54160690307617,62.33283615112305,61.111724853515625,61.909183502197266
2022-01-05,62.13347244262695,63.41688537597656,61.859344482421875,61.909183502197266
2022-01-06,62.5820426940918,62.974544525146484,61.94033432006836,62.27053451538086
2022-01-07,62.17708206176758,63.697242736816406,62.15839385986328,63.17390823364258
2022-01-10,63.37327575683594,63.54772186279297,61.64128875732422,61.94033432006836
2022-01-11,62.48236083984375,63.778236389160156,62.28299331665039,63.41688537597656
2022-01-12,63.19260025024414,63.933990478515625,63.16144943237305,63.697242736816406
2022-01-13,63.7283935546875,64.57569885253906,63.42311477661133,63.83430862426758
2022-01-14,63.33589553833008,64.33895111083984,62.868629455566406,64.27041625976562
2022-01-18,63.896610260009766,64.62554168701172,63.647403717041016,64.10220336914062
2022-01-19,63.97760009765625,64.16450500488281,62.594505310058594,62.687957763671875
2022-01-20,62.44498062133789,63.41688537597656,61.03696060180664,61.21140670776367
2022-01-21,60.86874771118164,61.27370834350586,59.72239685058594,59.996524810791016
2022-01-24,58.9311637878418,60.706764221191406,57.498226165771484,60.376564025878906
2022-01-25,56.76929473876953,57.54183578491211,55.01239013671875,56.763065338134766
2022-01-26,57.012271881103516,57.261478424072266,54.856632232666016,55.647865295410156
2022-01-27,56.07151794433594,57.17425537109375,54.86909484863281,56.00921630859375
2022-01-28,55.635406494140625,57.417232513427734,55.35504913330078,57.379852294921875
2022-01-31,57.0745735168457,58.9124755859375,56.713226318359375,58.862632751464844
2022-02-01,59.18660354614258,61.317317962646484,59.030845642089844,61.02450180053711
2022-02-02,60.85005569458008,61.4170036315918,59.9093017578125,61.08057403564453
2022-02-03,60.52608871459961,61.778350830078125,60.152278900146484,61.2550163269043
2022-02-04,60.86874771118164,62.33283615112305,60.83136749267578,61.684898376464844
2022-02-07,61.909183502197266,62.66926574707031,61.36716079711914,62.239383697509766
2022-02-08,62.28922653198242,62.61319351196289,61.44815444946289,61.871803283691406
2022-02-09,62.45743942260742,62.594505310058594,61.7534294128418,61.83442306518555
2022-02-10,61.29862976074219,62.725337982177734,61.0556526184082,61.54783630371094
2022-02-11,61.69112777709961,62.44498062133789,59.915531158447266,60.32672119140625
2022-02-14,60.25196075439453,60.68184280395508,59.535491943359375,60.18342971801758
2022-02-15,61.04942321777344,63.16144943237305,61.02450180053711,62.87486267089844
2022-02-16,62.357757568359375,63.49164962768555,62.233154296875,63.18014144897461
2022-02-17,62.51974105834961,62.569583892822266,60.98088836669922,61.34223937988281
2022-02-18,61.317317962646484,61.65998077392578,57.2677116394043,57.747432708740234
2022-02-22,57.71628189086914,59.323665618896484,57.548065185546875,58.65703582763672
2022-02-23,58.4327507019043,59.09938049316406,57.510684967041016,57.722511291503906
2022-02-24,56.4390983581543,57.996639251708984,54.638580322265625,57.65398025512695
2022-02-25,58.196006774902344,60.69430160522461,57.97794723510742,60.04013442993164
2022-02-28,59.037078857421875,59.69747543334961,58.64457702636719,59.50434112548828
2022-03-01,59.16168212890625,59.84700012207031,57.2365608215332,57.52314758300781
2022-03-02,58.22715759277344,59.155452728271484,57.99040985107422,58.663265228271484
2022-03-03,59.14921951293945,59.37350845336914,57.305091857910156,57.59790802001953
2022-03-04,56.208580017089844,56.37056350708008,54.52643585205078,55.53572463989258
2022-03-07,55.24290466308594,55.5793342590332,53.137107849121094,53.193180084228516
2022-03-08,54.22115707397461,56.35187530517578,53.29909133911133,54.91893768310547
